Names	Uniprot
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	A2ABK1
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	A2ABK3
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	B4DUN1
FM;FMOD;SLRR2E	Q06828
FM;FMOD;SLRR2E	B4E1J3
FM;FMOD;SLRR2E	B3KS64
FM;FMOD;SLRR2E	Q12833
LASP1;MLN50	Q14847-1
LASP1;MLN50	Q14847
LASP1;MLN50	A8K1D2
LASP1;MLN50	Q14847-2
LASP1;MLN50	C9JVR8
LASP1;MLN50	C9J9W2
LASP1;MLN50	B4DGQ0
LASP1;MLN50	B4DJI4
LASP1;MLN50	B4DIC4
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	Q6NT52-1
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	Q6NT52
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	A6NKQ9-1
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	A6NKQ9
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	P01233-2
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	P01233
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	A8MSU9
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	P01233-1
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8	A6NKQ9-2
DAAP-21F2.2-001;DAMC-117B11.3-001;VARS;G7A;VARS2	B0V043
DAAP-21F2.2-001;DAMC-117B11.3-001;VARS;G7A;VARS2	P26640
PAGA;PAGB;PRDX1;TDPX2	Q06830
PAGA;PAGB;PRDX1;TDPX2	B2R4P2
PAGA;PAGB;PRDX1;TDPX2	B5BU26
EEF1G;EF1G;PRO1608;hCG_2039458	B4DTG2
EEF1G;EF1G;PRO1608;hCG_2039458	P26641
EEF1G;EF1G;PRO1608;hCG_2039458	Q2F838
EEF1G;EF1G;PRO1608;hCG_2039458	Q2F840
EEF1G;EF1G;PRO1608;hCG_2039458	Q53YD7
EEF1G;EF1G;PRO1608;hCG_2039458	B4DUP0
GRP170;HYOU1;ORP150;DKFZp686N08236	Q9Y4L1
GRP170;HYOU1;ORP150;DKFZp686N08236	A8C1Z0
GRP170;HYOU1;ORP150;DKFZp686N08236	B3KXH0
